product_id,category,cost_price,competitor_price,demand,inventory,season,traffic,optimal_price
1102,Clothing,325.44,409.98,245,722,Holiday,4873,450.36
1435,Beauty,246.58,290.76,976,950,Festive,4399,320.43
1860,Toys,197.85,277.07,72,685,Normal,3168,235.47
1270,Electronics,42.66,63.33,888,740,Normal,2572,67.05
1106,Home,492.14,744.05,451,22,Festive,4606,700.83
1071,Electronics,121.67,138.22,532,54,Holiday,3024,170.73
1700,Sports,315.0,355.0,37,687,Holiday,1323,411.06
1020,Electronics,398.14,444.56,465,990,Festive,1713,485.42
1614,Toys,258.92,300.21,711,802,Festive,1145,328.61
1121,Beauty,293.77,385.43,602,721,Holiday,4510,421.48
1466,Beauty,270.38,382.7,342,884,Normal,744,328.96
1214,Sports,321.9,418.08,888,861,Festive,2325,431.73
1330,Electronics,214.01,280.82,350,80,Festive,1804,286.12
1458,Toys,184.5,225.23,538,700,Holiday,3763,258.25
1087,Beauty,492.74,760.71,961,984,Normal,2254,641.03
1372,Beauty,193.01,262.63,688,928,Normal,188,236.94
1099,Beauty,228.7,244.5,731,735,Festive,2852,281.85
1871,Beauty,89.41,108.14,444,224,Normal,4639,106.54
1663,Clothing,415.33,603.5,79,629,Holiday,647,611.68
1130,Home,389.09,507.45,403,783,Normal,3902,452.42
1661,Clothing,368.64,573.86,482,67,Holiday,2072,572.71
1308,Beauty,435.68,570.61,809,286,Holiday,4051,626.82
1769,Toys,19.1,27.44,598,131,Festive,4928,37.44
1343,Electronics,18.8,26.26,791,514,Holiday,2517,40.48
1491,Clothing,488.77,526.46,419,67,Festive,612,588.98
1413,Sports,104.1,129.58,508,813,Festive,2605,138.55
1805,Home,444.77,589.38,685,681,Holiday,3743,638.56
1385,Electronics,399.34,553.15,183,803,Festive,4214,535.79
1191,Clothing,264.73,342.05,169,228,Normal,1400,305.63
1955,Home,31.07,35.43,387,603,Festive,392,42.64
1276,Toys,110.72,170.85,232,862,Holiday,1438,168.8
1160,Clothing,42.58,57.25,846,5,Holiday,4121,77.45
1459,Sports,391.43,435.58,673,177,Normal,3632,426.08
1313,Beauty,256.68,271.3,463,984,Festive,97,306.83
1021,Sports,493.36,694.75,686,110,Holiday,1988,730.56
1252,Beauty,272.98,356.14,16,356,Normal,780,313.1
1747,Home,65.33,70.8,781,942,Holiday,4961,95.31
1856,Clothing,59.24,64.41,511,976,Holiday,4544,81.98
1560,Clothing,266.73,284.89,971,885,Holiday,1410,357.49
1474,Sports,296.16,333.99,346,624,Normal,1160,318.88
1058,Electronics,85.97,123.2,193,176,Normal,1459,107.57
1510,Home,85.11,106.93,746,683,Normal,1184,107.52
1681,Toys,458.42,689.61,530,352,Normal,4390,582.86
1475,Beauty,423.82,666.67,414,660,Normal,157,550.22
1699,Home,14.94,16.39,425,881,Normal,3224,19.76
1975,Toys,375.79,521.1,945,884,Normal,2717,462.92
1782,Sports,268.26,285.57,57,676,Holiday,358,341.74
1189,Toys,326.17,400.46,914,506,Normal,4567,379.07
1957,Clothing,29.43,35.33,283,892,Holiday,855,40.94
1686,Beauty,224.35,357.15,350,108,Normal,3758,297.21
1957,Beauty,241.91,291.64,744,836,Holiday,3448,337.95
1562,Toys,72.78,105.65,421,487,Festive,3072,106.12
1875,Beauty,465.44,495.15,277,218,Festive,1486,554.56
1566,Beauty,15.79,24.69,855,51,Normal,4754,37.08
1243,Home,55.92,63.04,235,722,Festive,4861,68.96
1831,Home,288.73,318.2,578,915,Holiday,348,382.63
1504,Toys,12.12,19.01,392,348,Normal,1556,21.67
1130,Sports,496.9,544.36,297,228,Holiday,3188,649.66
1484,Toys,24.6,33.16,79,824,Festive,3147,30.03
1818,Toys,319.07,454.27,829,605,Normal,4098,400.22
1646,Clothing,187.15,250.27,752,448,Holiday,129,278.3
1020,Toys,65.14,91.25,96,787,Festive,3110,85.95
1840,Toys,432.96,573.11,9,970,Festive,4010,563.31
1166,Clothing,277.52,365.52,14,424,Normal,2122,319.68
1273,Home,338.89,431.22,822,656,Holiday,2326,482.94
1387,Sports,395.29,532.1,802,625,Normal,129,476.61
1600,Electronics,280.53,306.67,344,274,Normal,2852,299.11
1315,Toys,133.6,167.92,878,708,Holiday,4254,198.18
1013,Toys,162.96,211.35,261,747,Normal,1901,188.64
1241,Toys,414.54,542.33,901,731,Festive,4565,554.98
1776,Beauty,395.22,514.24,289,815,Normal,2271,456.44
1345,Toys,17.07,23.79,423,894,Normal,1869,24.42
1564,Clothing,293.61,378.76,368,741,Normal,3592,339.84
1897,Beauty,379.13,546.66,976,180,Holiday,3711,576.3
1339,Clothing,59.33,94.18,791,220,Festive,2628,100.37
1091,Toys,310.59,426.8,258,491,Festive,4890,417.99
1366,Electronics,238.44,363.26,315,135,Normal,3454,306.48
1955,Toys,116.71,165.87,34,731,Holiday,1207,167.49
1454,Clothing,322.43,371.22,358,470,Holiday,71,432.24
1427,Toys,156.84,178.98,754,518,Holiday,1448,219.61
1508,Electronics,108.0,148.57,672,340,Festive,3306,156.22
1775,Clothing,230.14,264.72,825,657,Festive,4955,295.17
1942,Home,304.75,333.42,236,366,Festive,3513,367.69
1034,Beauty,221.88,353.07,925,651,Holiday,2921,358.19
1205,Sports,456.12,611.72,504,634,Holiday,4152,654.86
1080,Sports,451.03,600.62,475,528,Normal,4512,532.69
1931,Clothing,190.93,281.89,899,951,Festive,2147,278.27
1561,Sports,113.57,155.21,88,282,Holiday,1987,163.13
1871,Toys,451.11,589.85,917,247,Holiday,472,650.36
1387,Beauty,214.14,278.74,508,79,Festive,4091,288.33
1001,Home,162.21,256.19,669,844,Normal,1145,218.36
1389,Home,479.55,513.11,878,416,Normal,3782,511.81
1565,Electronics,251.46,300.66,115,887,Holiday,3101,336.79
1105,Sports,438.38,617.3,441,212,Normal,1153,535.6
1771,Toys,14.5,15.34,884,439,Holiday,4019,34.03
1821,Beauty,36.84,52.27,668,314,Festive,3001,61.87
1476,Sports,244.65,324.56,861,291,Normal,4111,300.37
1702,Beauty,329.52,446.59,441,552,Normal,1081,394.11
1401,Electronics,244.76,343.4,767,463,Holiday,1628,368.29
1729,Toys,242.21,313.54,180,356,Festive,3395,316.03
1555,Sports,171.85,210.79,542,600,Holiday,4697,242.12
1161,Home,233.59,342.22,59,555,Normal,2518,286.31
1201,Electronics,418.43,604.31,47,98,Holiday,3447,616.43
1957,Toys,383.11,459.47,120,928,Holiday,3468,514.83
1995,Sports,122.44,168.96,63,440,Festive,1112,163.13
1269,Home,362.21,528.55,949,996,Festive,3397,513.71
1862,Home,345.23,477.66,786,453,Normal,4276,424.9
1815,Beauty,75.49,89.64,417,296,Festive,1850,100.75
1270,Home,433.12,526.34,98,582,Normal,4589,478.78
1455,Clothing,39.47,42.34,954,636,Normal,899,56.8
1461,Sports,12.3,14.33,715,22,Holiday,252,30.58
1726,Sports,404.65,494.28,533,748,Holiday,945,557.55
1251,Beauty,327.53,487.08,179,93,Normal,4588,410.42
1701,Home,103.08,130.22,931,343,Normal,2373,133.56
1295,Beauty,364.95,575.71,797,143,Holiday,1108,576.79
1724,Clothing,440.86,701.9,931,556,Festive,1348,653.35
1719,Beauty,96.45,124.93,426,763,Festive,1468,129.86
1748,Sports,174.11,235.44,283,894,Holiday,3495,249.49
1337,Toys,412.62,480.2,412,653,Holiday,4622,554.54
1878,Toys,383.46,517.28,70,338,Holiday,3389,545.94
1052,Beauty,307.05,357.78,733,360,Holiday,3736,422.04
1791,Sports,200.94,293.37,854,288,Normal,1667,262.8
1921,Electronics,213.6,291.91,173,282,Normal,91,254.8
1216,Clothing,221.88,331.01,985,609,Holiday,4502,348.57
1763,Clothing,462.95,735.61,133,73,Holiday,2347,717.31
1187,Sports,265.86,304.45,651,416,Holiday,3232,362.56
1379,Toys,260.25,339.2,302,913,Normal,1928,301.2
1492,Electronics,189.57,199.59,434,903,Festive,1826,227.18
1040,Home,323.04,350.71,83,95,Holiday,702,418.82
